Appointment Description,Total Time in Minutes
Severe headache ,20
Anxiety management session ,30
Hearing loss investigation ,25
Follow up for skin biopsy ,20
Ankle fracture evaluation,25
Routine dental cleaning,30
Skin cancer screening,20
Mole examination,15
Hernia check,20
Tendonitis in wrist,18
Follow-up for thyroid treatment,15
Pediatric annual checkup,30
Menopause consultation,20
Hearing test,25
Cataract consultation,15
Sports physical examination,20
Allergic reaction assessment,20
Gastroenterology consultation,30
Knee replacement follow-up,25
Cough and cold symptoms,15
Nutrition counseling,30
Post-operation checkup,20
Immunotherapy session,45
Migraine treatment plan,25
Acute sinusitis,20
Gynecological exam,30
Stress ECG,40
Arthritis management,20
Cardiology consultation,30
Child developmental screening,30
Vertigo evaluation,25
Liver function test,15
Sleep apnea consultation,30
Flu symptoms,15
Ingrown toenail removal,20
Laser eye surgery consultation,25
Bipolar disorder follow-up,30
Orthopedic rehabilitation,45
Prostate exam,20
Ultrasound for pregnancy,30
Smoking cessation help,20
TMJ disorder consultation,20
Varicose veins treatment,30
Glaucoma screening,15
Fertility consultation,30
Lumbar puncture procedure,45
Endoscopy preparation,20
Psychiatric evaluation,50
Osteoporosis treatment discussion,20
Pancreatitis monitoring,30
Tuberculosis screening,15
Antenatal clinic visit,20
Lyme disease consultation,25
Chiropractic adjustment,20
Breast cancer follow-up,25
Dental implant consultation,30
ADHD management session,45
Drug allergy testing,30
Psoriasis treatment update,20
Refractive surgery assessment,25
Diabetic neuropathy check,20
Geriatric health examination,30
Hypertension review,15
Scoliosis check in adolescents,20
Routine check-up,20
Sprained ankle assessment,20
Flu vaccination,10
Stress management counseling,30
Child immunization,15
Sinus infection,20
Cholesterol level test,15
Therapy session for depression,50
Breast cancer screening,30
Diabetes management review,25
Eye exam for new glasses,20
Blood pressure monitoring,10
Asthma control test,25
Pregnancy ultrasound,30
Migraine management session,25
Skin allergy test,20
Sleep disorder consultation,30
Routine dental cleaning,30
Hernia examination,20
Cataract follow-up,20
Hearing aid fitting,30
Sports injury rehab,45
Kidney function test,20
Liver health consultation,25
Thyroid function test,15
Post-surgical follow-up for knee surgery,25
Acne treatment session,20
Weight loss consultation,30
Routine pediatric visit,20
Osteoarthritis management,25
Heart health checkup,30
Menopause counseling,25
Cognitive behavioral therapy,50
Allergy follow-up,20
Varicose vein treatment session,30
Ingrown toenail treatment,20
Dizziness diagnosis,25
Bone density test,20
Chronic back pain management,30
COPD management,25
Annual flu shot,10
Vision test,15
Mole removal,20
Ulcerative colitis consultation,30
Stress test for heart,40
Endometriosis management,30
Rheumatoid arthritis check,20
Gastric problem evaluation,25
Root canal treatment,45
Smear test,15
Knee pain consultation,20
Upper respiratory infection treatment,20
Epilepsy monitoring,30
Bipolar disorder counseling,50
Child developmental milestones check,30
Gastroesophageal reflux disease management,20
Herniated disc discussion,30
Laser hair removal session,45
Antenatal care,25
Tinnitus evaluation,20
Orthodontic consultation,30
Pneumonia follow-up,25
Skin cancer check-up,20
Tuberculosis treatment discussion,25
Anxiety disorder therapy,50
"Routine check-up",15
"Flu symptoms",20
"Follow-up for ongoing treatment",30
"First consultation for reported pain",25
"Vaccination",10
"Routine dental cleaning",30
"Emergency visit for injury",45
"Consultation for allergies",20
"Annual physical exam",45
"Prescription refill",15
"Screening for hypertension",20
"Nutritional consultation",30
"Psychotherapy session",50
"Orthopedic consultation for knee pain",30
"Skin rash evaluation",20
"Sleep disorder consultation",40
"Eye examination for vision check",25
"Ear infection treatment",15
"Chronic disease management for diabetes",35
"Pre-operative evaluation for surgery",40
"Asthma follow-up",25
"Consultation for gastrointestinal symptoms",30
"Therapeutic massage session for back pain",45
"Dermatological procedure for mole removal",20
"Pediatric vaccination",10
"Acute migraine treatment",30
"Cardiac screening for heart disease",40
"OB/GYN annual visit",30
"Blood work and laboratory tests",15
"Consultation for depression",50
"Physical therapy session for ankle sprain",30
"Pre-natal visit",20
"Smoking cessation counseling",25
"Men's health prostate screening",20
"Women's health breast examination",30
"Dental procedure for cavity filling",45
"Emergency asthma attack treatment",40
"Biopsy procedure for suspicious lesion",30
"Follow-up for thyroid disorder management",20
"Weight loss counseling",25
"Routine pediatric check-up",15
"Geriatric assessment for general health",40
"Travel consultation for vaccinations",20
"Telemedicine consultation for cold symptoms",15
"Foot and ankle consultation for injury",30
"Diabetic foot examination",25
"Bone density scan for osteoporosis",20
"Headache management session",30
"Psychiatric evaluation for anxiety",45
Routine check-up,15
Flu symptoms,20
Treatment follow-up,30
Initial pain consultation,25
Vaccination appointment,10
Dental cleaning session,30
Injury emergency visit,45
Allergy consultation,20
Physical exam yearly,45
Medication refill visit,15
Hypertension screening,20
Dietary counseling session,30
Therapeutic counseling,50
Knee pain orthopedic visit,30
Evaluation of skin rash,20
Sleep issues consultation,40
Vision examination,25
Treatment for ear infection,15
Diabetes management check,35
Surgical pre-op assessment,40
Asthma review appointment,25
Stomach issues consultation,30
Back pain massage therapy,45
Mole removal dermatology,20
Child immunization session,10
Migraine acute care,30
Heart disease screening,40
OB/GYN yearly examination,30
Lab work and testing,15
Depression therapy session,50
Physical therapy for sprain,30
Regular prenatal check-up,20
Quitting smoking counseling,25
Prostate health screening,20
Breast health examination,30
Cavity filling dental work,45
Asthma attack urgent care,40
Suspicious lesion biopsy,30
Thyroid management follow-up,20
Obesity counseling session,25
Pediatric routine examination,15
Senior health assessment,40
Pre-travel vaccination advice,20
Telehealth for respiratory symptoms,15
Foot injury consultation,30
Diabetic foot care,25
Osteoporosis scanning,20
Headache treatment session,30
Anxiety psychiatric evaluation,45
Annual check-up,15
Influenza treatment,20
Continued treatment follow-up,30
Pain management first visit,25
Immunization clinic,10
Routine oral hygiene,30
Acute injury emergency,45
Discussion on allergy management,20
Comprehensive health review,45
Prescription renewal consultation,15
Blood pressure monitoring,20
Nutrition advice,30
Mental health therapy,50
Consultation for joint pain,30
Rash assessment,20
Consultation for insomnia,40
Eye health check-up,25
Management of ear pain,15
Chronic illness follow-up,35
Pre-surgery evaluation,40
Routine asthma check-up,25
Gastro health review,30
Pain relief massage,45
Skin procedure,20
Vaccine for children,10
Severe headache treatment,30
Cardiology assessment,40
Annual women's health check,30
Routine blood testing,15
Mental health counseling,50
Ankle rehabilitation,30
Maternal health visit,20
Anti-smoking session,25
Men's wellness screening,20
Women's wellness visit,30
Teeth restoration,45
Urgent breathing treatment,40
Skin examination,30
Thyroid health consultation,20
Weight management discussion,25
Child health check,15
Elderly wellness evaluation,40
Travel health consultation,20
Cold symptom teleconsultation,15
Ankle and foot specialist visit,30
Care for diabetic extremities,25
Bone health screening,20
Management of chronic headaches,30
Psychological assessment for stress,45
Regular health check-up,15
Symptoms of cold,15
Follow-up for chronic condition,25
Consultation for acute back pain,30
Yearly flu shot,10
Teeth cleaning and oral exam,30
Urgent care for sports injury,40
Allergy testing and advice,30
Comprehensive yearly health review,50
Quick prescription pick-up,10
Blood pressure check,15
Nutritional advice for weight management,25
Counseling for stress and anxiety,45
Consultation for joint stiffness,30
Evaluation for dermatitis,20
Consultation for snoring and sleep apnea,35
Regular eye check for glasses,20
Quick ear wax removal,15
Management of type 2 diabetes,30
Pre-surgery check-up,35
Routine asthma treatment,20
Acid reflux and indigestion consultation,25
Massage for neck pain,30
Skin cancer screening,25
Childhood vaccine schedule,15
Emergency treatment for severe migraine,35
Cardiovascular fitness assessment,30
Routine OB/GYN check-up,25
Laboratory blood tests,20
Session for coping with depression,50
Post-injury physiotherapy,25
Monthly prenatal visit,20
Stop smoking support group,30
Screening for testicular health,20
Mammography screening,30
Filling a dental cavity,20
Care for acute asthma symptoms,25
Biopsy for new skin growth,25
Periodic thyroid check-up,15
Lifestyle and diet consultation,40
Pediatric annual physical,15
Geriatric mobility assessment,35
Vaccination advice for travel,20
Online consultation for flu-like symptoms,15
Specialist referral for foot pain,30
Annual diabetic examination,20
Bone density test for early osteoporosis,25
Management of persistent headaches,25
Psychiatric follow-up for bipolar disorder,40
Regular family doctor visit,15
Acute bronchitis treatment,20
Routine cardiac check,30
Evaluation for chronic pain,35
Booster immunization,10
Dental exam for gum health,25
Care for minor cuts and bruises,20
Strategies for managing seasonal allergies,20
Full-body health scan,60
Routine drug refill and health advice,15
Stress ECG test,25
Consultation for healthy eating,20
Support session for emotional wellbeing,50
Check for arthritis in knees,30
Dermatology appointment for acne,20
Nighttime sleep study,45
Examination for retinal health,20
Treatment for swimmer’s ear,15
Chronic care plan for heart failure,40
Pre-operative meeting for knee surgery,30
Asthma control test,20
Gut health and probiotics consultation,30
Relaxation therapy for muscle spasms,30
Preventative skin check for moles,20
Pediatric flu treatment,15
Intense migraine management,35
Heart health comprehensive evaluation,40
Regular visit for gynecological health,30
Simple blood glucose testing,10
Extended mental health therapy,55
Therapy for sprained wrist,25
Routine maternity check-up,20
Nicotine replacement therapy,20
Health screening for older men,25
General health visit for women,35
Procedure for tooth extraction,40
Immediate care for respiratory distress,35
Non-surgical treatment for skin tags,20
Thyroid function test,15
Nutrition planning for seniors,30
Child wellness check-up,15
Evaluation for elderly patient stability,30
Advice on vaccinations for infants,20
Brief virtual check for sinus issues,15
Podiatry appointment for heel pain,30
Care plan adjustment for diabetes,25
Screening for spinal health,25
Chronic migraine control strategies,35
Evaluation for anxiety disorders,40
Annual wellness visit,25
Thyroid function follow-up,15
Deep vein thrombosis assessment,30
Muscle strain recovery session,20
Abdominal pain evaluation,25
Chronic bronchitis check,20
Post-stroke rehabilitation session,45
Carpal tunnel syndrome evaluation,20
Child immunization update,15
Routine cardiovascular screening,30
Walk-in for sudden fever,15
Dental check-up for tooth sensitivity,20
Physical therapy for hip pain,30
Recurrent ear infection follow-up,15
Management of chronic kidney disease,25
Mental health check for ongoing depression,30
Emergency reaction to bee sting,20
Routine mammogram,15
Consultation for arthritis in hands,20
Bi-weekly blood sugar level check,10
Chiropractic session for lower back pain,25
Pulmonary function test,20
Regular acne follow-up,15
Consultation for new dietary regimen,20
Proactive lung health assessment,25
Skin biopsy for suspicious mole,20
Rehabilitation for ankle sprain,30
Hypertension medication review,15
Pediatric sore throat check,10
Evaluation of new headaches,20
Postpartum follow-up,30
Ingrown toenail correction,20
Urgent palpitations concern,25
Routine prostate health screening,15
Anxiety therapy session,30
Childhood asthma management,20
Sports injury assessment,25
Routine blood panel,10
Consultation for menopausal symptoms,20
Follow-up for surgical wound healing,15
Lung capacity test for COPD,20
Spinal alignment check,25
Ultrasound for abdominal discomfort,30
Severe allergic reaction treatment,20
Routine skin cancer follow-up,15
Non-emergency migraine management,30
Annual check for thyroid levels,15
Bunion consultation,20
Gastrointestinal discomfort review,25
Laser treatment for skin rejuvenation,30
Pediatric fever management,15
Nutritional counseling for high cholesterol,25
Eye examination for dry eyes,20
Pregnancy check-up,15
Speech therapy session for stuttering,30
Breathing test for allergy sufferers,20
Emergency dental repair,25
Knee joint arthritis management,20
Consultation for chronic fatigue,30
Pneumonia recovery follow-up,20
Sleep apnea device adjustment,15
Evaluation for vertigo symptoms,20
Chest pain assessment,30
Foot arch pain due to flat feet,20
Heart monitor fitting,15
Prenatal ultrasound,30
Routine geriatric assessment,25
TMJ disorder evaluation,20
Emergency consultation for chest tightness,25
